country,year,co2,coal_co2,cement_co2,gas_co2,oil_co2,methane
Armenia,2000,3.491,0.048,0.139,2.565,0.788,1.83
Armenia,2001,3.533,0.048,0.144,2.612,0.777,1.88
Armenia,2002,3.077,0.048,0.211,2.002,0.816,1.93
Armenia,2003,3.456,0.073,0.22,2.228,0.934,1.98
Armenia,2004,3.691,0.004,0.298,2.473,0.92,2.05
Armenia,2005,4.376,0.004,0.331,3.063,0.982,2.07
Armenia,2006,4.402,0.004,0.338,3.14,0.92,2.15
Armenia,2007,5.1,0.007,0.407,3.762,0.924,2.24
Armenia,2008,5.575,0.007,0.412,4.122,1.033,2.31
Armenia,2009,4.363,0.004,0.241,3.169,0.953,2.31
Armenia,2010,4.253,0.004,0.288,2.953,1.008,2.37
Armenia,2011,4.969,0.007,0.264,3.756,0.942,2.37
Armenia,2012,5.748,0.007,0.278,4.565,0.898,2.42
Armenia,2013,5.535,0.004,0.259,4.419,0.854,2.5
Armenia,2014,5.604,0.004,0.244,4.493,0.864,2.54
Armenia,2015,5.469,0.004,0.241,4.427,0.798,2.56
Armenia,2016,5.203,0.004,0.154,4.239,0.807,2.57
Armenia,2017,5.537,0.004,0.205,4.459,0.868,2.57
Armenia,2018,5.826,0.004,0.315,4.679,0.828,2.57
Armenia,2019,5.529,0.003,0.315,4.429,0.781,2.57
Armenia,2020,5.89,0.004,0.315,4.873,0.698,2.57
Australia,1991,281.872,147.307,3.21,33.061,88.986,161.9
Australia,1992,286.332,151.004,2.942,34.186,88.475,161.32
Australia,1993,291.325,151.373,3.03,35.973,91.155,157.97
Australia,1994,300.084,154.669,3.56,37.837,93.923,156.81
Australia,1995,308.023,157.261,3.391,40.225,97.078,155.34
Australia,1996,316.332,162.662,3.29,40.332,100.104,146.48
Australia,1997,327.11,171.244,3.252,41.95,100.485,150.62
Australia,1998,338.697,180.054,3.524,44.09,100.518,151.21
Australia,1999,346.599,184.875,3.552,45.961,101.308,164.01
Australia,2000,351.82,186.942,3.643,46.885,102.976,170.05
Australia,2001,360.455,191.835,3.574,49.769,103.536,187.38
Australia,2002,367.113,194.077,3.541,51.353,106.127,176.89
Australia,2003,373.233,197.462,3.622,50.233,110.743,140.63
Australia,2004,386.766,204.293,3.591,53.059,114.938,153.78
Australia,2005,387.602,201.452,3.678,54.681,116.944,131.51
Australia,2006,397.295,206.942,3.937,56.509,118.868,158.53
Australia,2007,401.926,204.714,3.994,61.4,120.161,149.32
Australia,2008,409.653,207.416,3.915,62.615,123.968,131.52
Australia,2009,401.321,203.142,3.775,62.222,120.643,138.15
Australia,2010,404.533,200.253,3.544,64.172,124.384,121.11
Australia,2011,405.344,192.845,3.509,66.729,130.295,174.14
Australia,2012,402.666,187.515,3.488,67.124,132.536,173.59
Australia,2013,393.171,174.256,3.255,68.821,134.566,132.67
Australia,2014,399.254,170.393,3.18,72.773,139.45,140.26
Australia,2015,403.279,174.961,3.09,72.362,137.945,137.07
Australia,2016,415.945,181.724,2.966,75.956,138.745,122.11
Australia,2017,414.751,176.972,3.02,76.405,139.585,122.11
Australia,2018,416.001,169.64,2.946,79.77,142.785,122.11
Australia,2019,414.517,164.066,3.025,81.576,141.899,122.11
Australia,2020,391.892,159.817,3.025,80.208,124.606,122.11
Austria,1991,65.738,18.699,2.005,12.496,31.407,11.51
Austria,1992,60.236,14.386,2.105,12.511,30.152,11.32
Austria,1993,60.661,13.274,2.032,13.012,31.265,10.99
Austria,1994,61.034,13.456,2.102,13.644,30.714,10.61
Austria,1995,64.011,15.423,1.631,14.887,30.852,10.12
Austria,1996,67.355,15.068,1.634,15.784,33.777,9.89
Austria,1997,67.252,16.156,1.761,15.289,32.852,9.59
Austria,1998,66.887,13.706,1.599,15.706,34.66,9.31
Austria,1999,65.64,13.875,1.607,16.091,32.833,9.17
Austria,2000,66.139,15.753,1.712,15.255,32.163,8.94
Austria,2001,70.139,16.564,1.72,16.147,34.411,8.8
Austria,2002,71.943,16.737,1.736,16.06,36.057,8.69
Austria,2003,77.451,18.023,1.754,17.258,39.082,8.53
Austria,2004,77.668,17.766,1.79,17.652,39.1,8.45
Austria,2005,79.068,17.862,1.797,18.691,39.393,8.24
Austria,2006,76.796,17.865,1.954,17.487,38.132,8.06
Austria,2007,74.097,17.455,2.131,16.486,36.624,7.88
Austria,2008,73.472,17.028,2.133,17.426,35.481,7.8
Austria,2009,67.291,12.833,1.799,17.026,34.417,7.6
Austria,2010,72,15.501,1.622,18.77,34.801,7.58
Austria,2011,69.889,15.819,1.666,17.722,33.29,7.41
Austria,2012,67.263,14.687,1.673,16.937,32.649,7.25
Austria,2013,67.759,14.96,1.656,16.324,33.468,7.11
Austria,2014,64.161,13.802,1.639,14.938,32.433,6.96
Austria,2015,66.352,14.373,1.701,15.959,33.01,6.88
Austria,2016,67.215,13.335,1.729,16.729,34.123,6.79
Austria,2017,69.599,14.023,1.71,17.966,34.561,6.79
Austria,2018,66.565,12.292,1.827,17.011,34.105,6.79
Austria,2019,67.962,13.008,1.771,17.782,34.122,6.79
Austria,2020,60.635,10.205,1.771,17.037,30.342,6.79
Azerbaijan,1991,50.034,0.252,0.467,26.594,22.544,15.84
Azerbaijan,1992,56.174,0.066,0.379,22.6,31.225,14.83
Azerbaijan,1993,48.406,0.011,0.294,17.283,30.818,14.28
Azerbaijan,1994,41.944,0.004,0.237,16.671,25.032,13.8
Azerbaijan,1995,33.309,0.015,0.103,13.308,19.885,13.5
Azerbaijan,1996,31.242,0.015,0.12,11.737,19.37,14.32
Azerbaijan,1997,29.802,0.015,0.175,11.062,18.551,15.21
Azerbaijan,1998,31.666,0.004,0.115,10.599,20.948,16.09
Azerbaijan,1999,28.57,0.022,0.104,11.688,16.777,16.94
Azerbaijan,2000,29.506,0.022,0.121,11.421,17.965,17.8
Azerbaijan,2001,28.791,0.022,0.304,16.576,11.278,19.22
Azerbaijan,2002,29.641,0.022,0.472,16.622,11.287,20.57
Azerbaijan,2003,30.624,0.022,0.539,17.054,12.697,21.97
Azerbaijan,2004,32.077,0.022,0.724,18.622,12.731,23.33
Azerbaijan,2005,34.286,0.022,0.742,18.533,14.638,24.68
Azerbaijan,2006,39.109,0.022,0.783,20.465,12.977,30.05
Azerbaijan,2007,30.459,0.022,0.817,17.578,11.456,35.33
Azerbaijan,2008,35.45,0.015,0.77,20.738,10.607,40.64
Azerbaijan,2009,31.856,0.015,0.621,18.789,9.241,45.93
Azerbaijan,2010,30.633,0.022,0.617,17.968,8.695,51.23
Azerbaijan,2011,32.976,0.018,0.465,19.026,10.264,50.03
Azerbaijan,2012,35.048,0.015,0.658,19.833,11.641,48.88
Azerbaijan,2013,35.215,0.011,0.722,19.936,12.066,47.75
Azerbaijan,2014,36.975,0.007,0.925,21.2,11.633,46.58
Azerbaijan,2015,36.989,0.011,0.843,21.933,11.52,45.44
Azerbaijan,2016,37.055,0.004,0.726,21.508,12.128,44.82
Azerbaijan,2017,36.73,0.004,0.929,20.892,12.48,44.82
Azerbaijan,2018,36.847,0.004,1.083,21.284,11.809,44.82
Azerbaijan,2019,38.725,0.004,1.083,23.2,11.771,44.82
Azerbaijan,2020,37.72,0.004,1.083,23.405,10.561,44.82
Bangladesh,1991,14.742,0.341,0.079,9.057,5.265,64.77
Bangladesh,1992,15.38,0.322,0.075,9.607,5.375,65.37
Bangladesh,1993,16.063,0.121,0.073,10.391,5.478,65.44
Bangladesh,1994,17.538,0.099,0.072,11.474,5.893,66.25
Bangladesh,1995,21.042,1.22,0.069,13.029,6.723,66.99
Bangladesh,1996,21.493,0.678,0.154,13.498,7.163,66.44
Bangladesh,1997,23.126,1.227,0.229,13.262,8.408,67.01
Bangladesh,1998,23.198,0.352,0.269,14.325,8.253,66.58
Bangladesh,1999,25.075,0.176,0.431,15.616,8.852,68.49
Bangladesh,2000,26.525,1.253,0.704,16.88,7.687,69.01
Bangladesh,2001,31.035,1.33,0.935,18.903,9.867,69.16
Bangladesh,2002,31.981,1.33,0.885,19.886,9.881,70.23
Bangladesh,2003,33.459,1.367,0.835,21.39,9.867,71.19
Bangladesh,2004,35.945,1.451,0.785,23.088,10.621,71.09
Bangladesh,2005,37.677,1.605,0.751,24.722,10.599,72.51
Bangladesh,2006,41.689,1.81,0.7,28.257,10.922,73.86
Bangladesh,2007,42.642,2.209,0.682,29.579,10.171,74.17
Bangladesh,2008,45.301,2.47,0.699,32.225,9.907,76.86
Bangladesh,2009,49.148,3.015,0.699,35.442,9.992,77.56
Bangladesh,2010,53.992,3.074,0.68,39.397,10.841,78.99
Bangladesh,2011,56.556,2.836,0.695,39.626,13.399,79.57
Bangladesh,2012,60.691,3.422,0.675,41.715,14.88,79.73
Bangladesh,2013,61.782,3.748,0.743,43.332,13.959,80.47
Bangladesh,2014,65.979,3.507,0.752,45.934,15.785,81.13
Bangladesh,2015,73.277,8.607,1.239,48.742,14.689,81.2
Bangladesh,2016,76.477,6.075,1.416,53.549,15.436,80.34
Bangladesh,2017,80.944,7.152,1.416,53.667,18.708,80.34
Bangladesh,2018,82.6,8.178,1.461,53.377,19.584,80.34
Bangladesh,2019,94.215,13.241,1.461,60.199,19.315,80.34
Bangladesh,2020,92.842,14.751,1.461,59.226,17.404,80.34
Belarus,1991,96.78,6.646,1.163,23.766,61.891,20.03
Belarus,1992,88.859,6.473,1.15,31.222,46.985,18.01
Belarus,1993,76.555,5.929,1.069,28.462,38.557,17.15
Belarus,1994,62.505,4.944,0.794,24.608,30.574,16.34
Belarus,1995,57.508,3.972,0.695,23.682,27.657,15.53
Belarus,1996,58.377,4.449,0.835,24.831,26.753,14.97
Belarus,1997,58.92,3.523,0.98,27.96,24.671,14.73
Belarus,1998,57.396,3.283,0.968,27.564,23.819,14.67
Belarus,1999,54.902,2.977,0.882,28.611,20.985,14.55
Belarus,2000,54.706,3.516,0.836,31.201,17.858,14.08
Belarus,2001,54.77,3.497,0.986,31.646,17.288,13.88
Belarus,2002,54.583,2.973,1.072,32,17.036,15.69
Belarus,2003,56.105,2.884,1.342,33.585,16.662,14.43
Belarus,2004,59.801,2.728,1.587,36.354,17.38,14.16
Belarus,2005,61.127,2.83,1.781,36.976,17.597,13.97
Belarus,2006,63.934,2.864,1.899,37.419,19.837,14.66
Belarus,2007,63.303,2.813,1.939,37.868,18.755,14.64
Belarus,2008,65.439,2.584,2.108,38.635,20.264,15.47
Belarus,2009,61.045,2.654,2.099,31.82,22.755,15.63
Belarus,2010,62.775,2.906,2.201,39.541,16.436,16
Belarus,2011,61.629,2.944,2.191,37.374,17.556,15.67
Belarus,2012,62.674,3.22,2.389,36.817,18.807,16.53
Belarus,2013,63.237,3.211,2.469,36.9,19.349,16.72
Belarus,2014,62.609,3.074,2.718,36.596,18.842,17.33
Belarus,2015,58.038,2.808,2.218,33.957,17.758,17.75
Belarus,2016,59.851,3.171,2.147,33.885,19.615,16.59
Belarus,2017,60.116,3.291,1.985,34.649,19.037,16.59
Belarus,2018,60.962,3.366,1.839,36.751,17.972,16.59
Belarus,2019,61.022,3.392,2.267,36.48,17.89,16.59
Belarus,2020,57.445,3.379,2.267,34.006,16.8,16.59
Belgium,1991,123.378,40.122,2.88,21.617,56.198,13.32
Belgium,1992,122.505,38.118,3.089,22.204,56.634,13.14
Belgium,1993,121.439,36.562,3.082,23.212,56.129,12.95
Belgium,1994,124.808,38.013,3.179,23.696,57.383,12.98
Belgium,1995,125.942,36.955,3.255,26.305,56.747,13.11
Belgium,1996,129.48,34.203,3.009,29.213,60.546,12.98
Belgium,1997,123.983,31.916,3.162,27.74,58.607,12.78
Belgium,1998,130.209,33.214,3.175,30.866,60.326,12.53
Belgium,1999,124.701,28.931,3.113,33.035,56.962,12.6
Belgium,2000,126.72,31.672,3.27,33.199,55.734,12.12
Belgium,2001,126.065,28.29,2.957,32.937,59.057,11.6
Belgium,2002,126.865,28.637,2.993,33.256,59.085,11.07
Belgium,2003,128.25,27.766,2.933,34.992,59.789,10.4
Belgium,2004,128.781,28.252,2.837,34.983,59.764,10.27
Belgium,2005,125.641,26.196,2.934,35.641,58.09,10
Belgium,2006,123.884,25.337,3.112,35.389,57.119,9.86
Belgium,2007,120.48,23.158,3.087,35.637,55.793,9.64
Belgium,2008,120.181,23.259,3.033,35.69,55.365,9.45
Belgium,2009,107.712,15.162,2.795,36.482,51.199,9.37
Belgium,2010,114.544,17.526,2.582,40.349,51.809,9.26
Belgium,2011,105.026,16.691,2.762,34.575,48.611,9.03
Belgium,2012,102.386,15.078,2.643,34.915,47.549,8.84
Belgium,2013,102.652,15.332,2.541,35.275,47.311,8.63
Belgium,2014,96.868,14.795,2.643,31.007,46.239,8.55
Belgium,2015,101.056,14.438,2.348,33.824,48.188,8.54
Belgium,2016,99.872,13.544,2.436,34.43,47.309,8.45
Belgium,2017,99.448,13.308,2.291,35.093,46.592,8.45
Belgium,2018,100.227,13.367,2.534,36.179,45.986,8.45
Belgium,2019,99.746,13.192,2.819,36.274,45.482,8.45
Belgium,2020,83.749,10.902,2.819,35.47,32.58,8.45
Benin,1991,0.733,0.187,0.074,0.022,0.66,3.02
Benin,1992,0.788,0.187,0.074,0.022,0.714,3.08
Benin,1993,0.958,0.187,0.078,0.022,0.879,3.11
Benin,1994,1.098,0.187,0.065,0.022,1.033,3.29
Benin,1995,1.117,0.187,0.081,0.022,1.037,3.14
Benin,1996,1.151,0.187,0.066,0.022,1.085,3.74
Benin,1997,1.195,0.187,0.077,0.022,1.118,3.75
Benin,1998,1.114,0.187,0.157,0.022,1.114,4.49
Benin,1999,1.462,0.187,0.157,0.022,1.462,4.22
Benin,2000,1.473,0.187,0.157,0.022,1.473,4.25
Benin,2001,1.689,0.187,0.157,0.022,1.689,3.64
Benin,2002,2.11,0.187,0.157,0.022,1.953,4.11
Benin,2003,2.394,0.187,0.166,0.022,2.228,3.98
Benin,2004,2.594,0.187,0.212,0.022,2.382,3.95
Benin,2005,2.49,0.187,0.222,0.022,2.268,4.54
Benin,2006,3.351,0.187,0.226,0.022,3.125,4.34
Benin,2007,3.931,0.187,0.212,0.022,3.719,4.6
Benin,2008,3.919,0.187,0.182,0.022,3.737,4.49
Benin,2009,4.225,0.187,0.223,0.022,4.001,4.72
Benin,2010,4.679,0.187,0.242,0.022,4.437,4.85
Benin,2011,4.48,0.187,0.233,0.022,4.247,5.05
Benin,2012,4.403,0.187,0.237,0.022,4.166,5.16
Benin,2013,4.566,0.187,0.213,0.022,4.331,5.28
Benin,2014,4.796,0.187,0.216,0.055,4.338,5.31
Benin,2015,5.326,0.11,0.214,0.059,4.943,5.47
Benin,2016,6.6,0.319,0.21,0.004,6.068,5.78
Benin,2017,6.938,0.337,0.211,0.073,6.316,5.78
Benin,2018,7.255,0.337,0.212,0.037,7.006,5.78
Benin,2019,7.315,0.337,0.212,0.038,7.064,5.78
Benin,2020,6.703,0.337,0.212,0.04,6.451,5.78
Bolivia,1991,5.972,0.004,0.268,1.506,3.283,20.13
Bolivia,1992,6.621,0.004,0.271,1.821,3.408,20.79
Bolivia,1993,7.792,0.004,0.295,1.88,3.697,21.43
Bolivia,1994,8.594,0.004,0.346,2.207,4.175,22.12
Bolivia,1995,9.8,0.004,0.402,2.451,5.023,22.28
Bolivia,1996,10.086,0.004,0.42,3.1,5.474,20.05
Bolivia,1997,11.256,0.004,0.466,3.741,5.789,20.61
Bolivia,1998,11.246,0.004,0.525,3.199,6.595,20.95
Bolivia,1999,10.722,0.004,0.539,3.448,6.035,25.35
Bolivia,2000,8.641,0.004,0.481,2.711,4.946,18.63
Bolivia,2001,8.292,0.004,0.437,2.433,5.078,18.51
Bolivia,2002,8.384,0.004,0.444,2.557,4.932,24.18
Bolivia,2003,9.985,0.004,0.495,3.037,6.057,20.88
Bolivia,2004,10.185,0.004,0.549,3.147,6.097,33.84
Bolivia,2005,11.176,0.004,0.613,3.701,6.614,30.06
Bolivia,2006,11.548,0.004,0.691,4.204,6.484,25.44
Bolivia,2007,12.663,0.004,0.722,4.617,7.178,31.48
Bolivia,2008,13.554,0.004,0.803,5.037,7.542,25.88
Bolivia,2009,14.229,0.004,0.911,5.511,7.669,23.59
Bolivia,2010,15.426,0.004,0.953,6.145,8.156,48.71
Bolivia,2011,16.992,0.004,1.043,6.762,8.953,31.12
Bolivia,2012,17.779,0.004,1.06,7.035,9.548,26.73
Bolivia,2013,19.094,0.004,1.199,7.346,10.354,25.85
Bolivia,2014,20.717,0.015,1.316,8.193,11.058,25.73
Bolivia,2015,21.278,0.015,1.367,8.233,11.527,27.71
Bolivia,2016,22.795,0.015,1.42,9.15,12.038,33.03
Bolivia,2017,23.562,0.026,1.424,9.222,12.754,33.03
Bolivia,2018,23.856,0.022,1.439,9.349,12.892,33.03
Bolivia,2019,23.848,0.015,1.439,9.316,12.924,33.03
Bolivia,2020,20.7,0.015,1.439,7.69,11.402,33.03
Bosnia and Herzegovina,1991,13.633,10.053,0.061,0.746,2.813,4.99
Bosnia and Herzegovina,1992,15.029,12.586,0.061,0.788,1.594,3.28
Bosnia and Herzegovina,1993,12.581,10.908,0.061,0.267,1.345,2.48
Bosnia and Herzegovina,1994,3.205,1.175,0.098,0.322,1.61,2.48
Bosnia and Herzegovina,1995,3.402,1.376,0.09,0.282,1.654,2.27
Bosnia and Herzegovina,1996,4.24,1.999,0.059,0.473,1.709,2.54
Bosnia and Herzegovina,1997,8.366,6.243,0.078,0.282,1.762,2.97
Bosnia and Herzegovina,1998,10.551,7.958,0.116,0.322,2.154,3.31
Bosnia and Herzegovina,1999,10.333,7.757,0.114,0.33,2.132,3.48
Bosnia and Herzegovina,2000,13.702,9.707,0.237,0.458,3.3,3.69
Bosnia and Herzegovina,2001,13.263,9.454,0.263,0.3,3.245,3.59
Bosnia and Herzegovina,2002,14.173,10.453,0.337,0.282,3.1,2.96
Bosnia and Herzegovina,2003,14.358,10.812,0.325,0.37,2.851,3.31
Bosnia and Herzegovina,2004,15.462,11.091,0.385,0.583,3.404,3.41
Bosnia and Herzegovina,2005,16.046,11.849,0.368,0.692,3.136,3.46
Bosnia and Herzegovina,2006,17.387,12.895,0.448,0.729,3.315,3.66
Bosnia and Herzegovina,2007,17.474,12.688,0.473,0.769,3.543,3.87
Bosnia and Herzegovina,2008,19.959,14.575,0.521,0.762,4.1,3.94
Bosnia and Herzegovina,2009,20.537,15.319,0.385,0.436,4.397,4.01
Bosnia and Herzegovina,2010,21.146,15.87,0.36,0.458,4.458,3.79
Bosnia and Herzegovina,2011,23.761,18.485,0.337,0.52,4.419,3.95
Bosnia and Herzegovina,2012,22.134,17.233,0.315,0.48,4.107,3.86
Bosnia and Herzegovina,2013,21.801,17.085,0.337,0.374,4.005,3.78
Bosnia and Herzegovina,2014,19.312,14.55,0.321,0.348,4.093,3.48
Bosnia and Herzegovina,2015,18.46,13.491,0.309,0.407,4.254,3.5
Bosnia and Herzegovina,2016,21.734,16.154,0.322,0.421,4.837,3.47
Bosnia and Herzegovina,2017,21.819,16.459,0.348,0.458,4.554,3.47
Bosnia and Herzegovina,2018,22.075,16.601,0.381,0.454,4.639,3.47
Bosnia and Herzegovina,2019,24.847,19.293,0.381,0.467,4.706,3.47
Bosnia and Herzegovina,2020,21.418,16.201,0.381,0.463,4.373,3.47
Botswana,1991,2.634,1.718,0.096,0.004,0.916,15.22
Botswana,1992,2.777,1.943,0.096,0.004,0.834,15.04
Botswana,1993,3.195,1.924,0.096,0.004,1.271,14.88
Botswana,1994,3.03,1.953,0.096,0.004,1.077,15.16
